PLAYER_ID,PLAYER_NAME,PTS,REB,AST,STL,BLK,TOV
1628378,"Donovan Mitchell",27.9,4.5,5.7,1.5,0.3,2.8
1628978,"Donte DiVincenzo",12.2,4.1,3.8,1.3,0.4,1.4
1627827,"Dorian Finney-Smith",3.3,2.5,1,0.4,0.2,0.6
203926,"Doug McDermott",5.7,1.3,0.8,0.2,0.1,0.4
1642962,"Drake Powell",6.5,1.8,1.4,0.6,0.2,1
203110,"Draymond Green",8.4,5.5,5.5,0.9,0.6,2.7
1629234,"Drew Eubanks",5.2,3,0.5,0.4,0.6,0.7
1641809,"Drew Peterson",0.8,1.5,0.3,0.5,0.2,0
1631166,"Drew Timme",3.4,1.2,0.9,0.2,0,0.5
1630696,"Dru Smith",5.6,2.5,2.6,1.4,0.3,0.8
1629130,"Duncan Robinson",12.2,2.7,2.1,0.6,0.3,0.7
1641871,"Duop Reath",2.9,1.2,0.3,0.2,0.3,0.2
203939,"Dwight Powell",3.3,4.1,1.1,0.5,0.3,0.7
1642928,"Dylan Cardwell",5.4,7.5,1.4,0.7,1.5,0.9
1642844,"Dylan Harper",11.8,3.4,3.9,0.8,0.3,1.4
1630700,"Dyson Daniels",11.9,6.8,5.9,2,0.4,1.8
1630604,"E.J. Liddell",5.7,2.7,0.9,0.2,0.4,0.6
1642856,"Egor Dëmin",10.3,3.2,3.3,0.8,0.3,1.7
1641989,"Elijah Harkless",6.8,2,2.9,1.2,0.2,1
1641801,"Emanuel Miller",3,0.6,0.8,0.4,0,0
1642402,"Enrique Freeman",3.3,2.5,0.5,0.5,0.8,0.5
201569,"Eric Gordon",5.5,0.3,0.5,0.7,0.2,0.5
1630679,"Ethan Thompson",7,2.2,1.8,0.6,0.3,0.8
1630596,"Evan Mobley",18.2,9,3.6,0.7,1.7,1.9
1630532,"Franz Wagner",20.6,5.2,3.3,0.9,0.3,1.7
1641713,"GG Jackson",12.5,4.3,1.5,0.6,0.8,1.5
1629216,"Gabe Vincent",4.4,1,1.4,0.5,0.1,0.5
202066,"Garrett Temple",0.8,0.4,0.4,0.2,0.1,0.3
1629726,"Garrison Mathews",5.2,1.1,0.7,0.4,0.2,0.2
203914,"Gary Harris",2.7,1.3,1.1,0.6,0.2,0.4
1627780,"Gary Payton II",7.5,3.6,1.7,0.9,0.3,0.8
1629018,"Gary Trent Jr.",8.1,1,1.2,0.5,0,0.6
203507,"Giannis Antetokounmpo",27.6,9.8,5.4,0.9,0.7,3.2
1629048,"Goga Bitadze",5.9,5,1.3,0.6,1,0.7
1641711,"Gradey Dick",6,1.9,0.7,0.6,0.1,0.6
1641761,"Grant Nelson",4.3,1.5,1.3,0.3,1.3,1
1629684,"Grant Williams",7,3.9,1.6,0.5,0.5,0.9
1628960,"Grayson Allen",16.5,3,3.8,1.4,0.3,1.6
1627824,"Guerschon Yabusele",5.6,3.5,0.9,0.4,0.2,0.6
1630611,"Gui Santos",9.2,3.9,2.3,0.9,0.3,1.5
203084,"Harrison Barnes",9.9,2.8,1.9,0.6,0.2,0.8
1631127,"Harrison Ingram",1.6,0.4,0.1,0,0,0.1
1643060,"Hayden Gray",6,0,1,1,1,1
1629312,"Haywood Highsmith",5.4,1.9,1,0.6,0,0
1630529,"Herbert Jones",8.9,3.4,2.8,1.6,0.5,1.3
1642864,"Hugo González",3.9,3.3,0.5,0.6,0.3,0.5
1630621,"Hunter Dickinson",2.4,1,0.4,0.2,0.4,0.6
1642282,"Hunter Sallis",1,0.1,0.6,0,0.1,0.7
1641816,"Hunter Tyson",2.2,1.7,0.8,0.1,0,0.2
1630193,"Immanuel Quickley",16.4,4,5.9,1.3,0.1,1.5
1642403,"Isaac Jones",1.3,0.7,0.1,0,0.1,0.1
1630171,"Isaac Okoro",9.3,2.7,1.6,0.7,0.5,0.7
1642268,"Isaiah Collier",11.7,2.5,7.2,1.1,0.3,2.5
1642384,"Isaiah Crawford",2,1.1,0.4,0.1,0.2,0.3
1628392,"Isaiah Hartenstein",9.2,9.4,3.5,1,0.8,1.7
1630543,"Isaiah Jackson",6.7,5.3,0.9,0.7,0.9,1.1
1630198,"Isaiah Joe",11.1,2.5,1.3,0.7,0.2,0.6
1630587,"Isaiah Livers",1.8,1.7,0.6,0.4,0.2,0.3
1641815,"Isaiah Stevens",3.3,1,3.3,1.7,0,0.7
1630191,"Isaiah Stewart",10,5,1.1,0.3,1.6,1.2
1627826,"Ivica Zubac",14.1,10.6,2.2,0.4,0.8,1.8
1631120,"JD Davison",2.5,1.2,1.3,0.2,0.2,0.3
1629630,"Ja Morant",19.5,3.3,8.1,1,0.3,3.6
1642266,"Ja'Kobe Walter",7.5,2.6,1.2,1,0.2,0.5
1631095,"Jabari Smith Jr.",15.8,6.9,1.9,0.7,0.9,1.4
1631133,"Jabari Walker",4.3,3,0.5,0.4,0.2,0.4
1631210,"Jacob Toppin",1.6,0.2,0.2,0,0.2,0
1630702,"Jaden Hardy",9.2,1.5,1,0.3,0.1,1.1
1631093,"Jaden Ivey",8.5,2.5,1.8,0.6,0.4,1.1
1630183,"Jaden McDaniels",14.8,4.2,2.7,1.1,1,1.8
1630256,"Jae'Sean Tate",2.8,1.6,0.5,0.2,0.1,0.3
1642942,"Jahmai Mashack",6.2,2.6,2.2,1.2,0.5,1.6
1642443,"Jahmir Young",1.8,0.3,0.6,0.1,0,0.2
1643141,"Jahmyl Telfort",0.1,0.4,0.1,0.1,0,0.1
1631170,"Jaime Jaquez Jr.",15.4,5,4.7,0.7,0.3,2
1631222,"Jake LaRavia",8.2,4,1.8,1.3,0.5,1.1
1627751,"Jakob Poeltl",10.7,7,2,0.9,0.7,1.2
1628973,"Jalen Brunson",26,3.3,6.8,0.8,0.1,2.4
1631105,"Jalen Duren",19.5,10.5,2,0.8,0.8,1.9
1630224,"Jalen Green",17.8,3.6,2.8,1.1,0.3,2.3
1630552,"Jalen Johnson",22.5,10.3,7.9,1.2,0.4,3.4
1629618,"Jalen Pickett",5.2,2.3,2.3,0.3,0.1,0.7
1641771,"Jalen Slawson",7.3,4.4,2.8,1.5,1.1,1.3
1630188,"Jalen Smith",10.2,6.7,1.2,0.5,0.8,1
1630591,"Jalen Suggs",13.8,3.9,5.5,1.8,0.7,2.7
1631114,"Jalen Williams",17.1,4.6,5.5,1.2,0.3,1.9
1630592,"Jalen Wilson",6.4,2.1,0.9,0.4,0,0.7
1631288,"Jamal Cain",5.4,2,0.7,0.3,0.1,0.5
1627750,"Jamal Murray",25.4,4.4,7.1,0.9,0.4,2.3
1642347,"Jamal Shead",6.6,1.7,5.4,0.9,0.2,1.4
1631123,"Jamaree Bouyea",5.7,1.8,1.8,0.6,0.3,0.7
201935,"James Harden",23.6,4.8,8,1.1,0.4,3.5
1630164,"James Wiseman",3.3,2,0.8,0,0.3,1.3
1642364,"Jamir Watkins",7.4,3.9,1.3,1.1,0.5,0.8
1642419,"Jamison Battle",3.1,1.5,0.4,0.1,0,0.3
1641716,"Jarace Walker",11.6,5.1,2.5,0.8,0.3,1.8
1642272,"Jared McCain",8.3,2,1.3,0.5,0.1,0.8
1628991,"Jaren Jackson Jr.",19.4,5.7,2,1.1,1.4,2.2
1629020,"Jarred Vanderbilt",4.4,4.5,1.3,0.8,0.3,0.9
1628386,"Jarrett Allen",15.4,8.5,1.8,1,0.8,1.3
1642859,"Jase Richardson",4.4,1.2,1.1,0.4,0,0.5
1642914,"Javon Small",9.7,3.1,3.7,0.8,0.2,1.4
1631451,"Javonte Cooke",1.2,1,0.4,0.3,0,0.5
1629750,"Javonte Green",6.9,2.8,0.7,1.2,0.3,0.5
1629637,"Jaxson Hayes",7.5,4.1,0.9,0.4,0.8,0.5
1630643,"Jay Huff",9.5,4,1.5,0.5,1.9,0.9
1627759,"Jaylen Brown",28.7,6.9,5.1,1,0.4,3.6
1641740,"Jaylen Clark",4,1.8,0.6,0.7,0.1,0.3
1642377,"Jaylen Wells",12.5,3.2,1.6,0.9,0.1,1.1
1631119,"Jaylin Williams",7.2,5.5,2.4,0.5,0.6,1
1642281,"Jaylon Tyson",13.2,5.1,2.2,0.8,0.4,1.5
1643257,"Jayson Kent",2,1,0,0.2,0.2,0
1628369,"Jayson Tatum",21.8,10,5.3,1.4,0.2,2.4
201145,"Jeff Green",2.2,0.8,0.3,0.1,0.1,0.1
203924,"Jerami Grant",18.6,3.5,2.1,0.7,0.6,2.1
1642847,"Jeremiah Fears",14.3,3.7,3.4,1.2,0.4,2.2
1630526,"Jeremiah Robinson-Earl",4.6,4.7,0.7,0.4,0,0.5
1631110,"Jeremy Sochan",3.6,2.4,0.9,0.4,0.2,0.5
1630579,"Jericho Sims",5,5.5,1.6,0.3,0.3,1.1
1641724,"Jett Howard",5.5,1.6,0.8,0.2,0.2,0.3
1628975,"Jevon Carter",6.4,1.7,1.6,0.8,0.2,0.7
202710,"Jimmy Butler III",20,5.6,4.9,1.4,0.2,1.6
1642866,"Joan Beringer",3.9,2.3,0.3,0.2,0.7,0.3
1629111,"Jock Landale",10.6,5.7,1.7,0.5,0.5,0.9
204060,"Joe Ingles",1.5,0.7,1.3,0.3,0.1,0.5
